WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="228", group="280", value="     1"
WARNING (136224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (136272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (136280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (136396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (136404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (136412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (136420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (136428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (137184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (137272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (137280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137308): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137316): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137320): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137328): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137336): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137344): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137352): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137360): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137368): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137376): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137380): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137388): XRECORD object group 140 unknown/not supported - ignored.
WARNING (137396): XRECORD object group 90 unknown/not supported - ignored.
WARNING (137404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (137412): XRECORD object group 280 unknown/not supported - ignored.
WARNING (137420): XRECORD object group 140 unknown/not supported - ignored.
WARNING (137428): XRECORD object group 140 unknown/not supported - ignored.
WARNING (138184): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138192): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138200): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138208): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138216): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138224): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138232): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138240): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138248): XRECORD object group 280 unknown/not supported - ignored.
WARNING (138256): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138264): XRECORD object group 140 unknown/not supported - ignored.
WARNING (138272): XRECORD object group 140 unknown/not supported - ignored.
WARNING (138280): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138288): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138292): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138300): XRECORD object group 90 unknown/not supported - ignored.
WARNING (138308): XRECORD object group 90 unknown/not supported - ignored.
